"Time (s),""Angular velocity (rad/s)"",""Acceleration (m/s^2)"""
2.373950170E-1,3.448549402E-2,8.123893006E-1
7.373950170E-1,7.310149900E-3,2.603525441E-1
1.237395017E0,5.025041419E-3,5.916618899E-1
1.737395017E0,9.736914736E-3,5.785960733E-1
2.237395017E0,3.295073220E-3,4.431693394E-1
2.737395017E0,5.876799903E-3,2.205520078E-1
3.237395017E0,9.323060488E-3,2.531900262E-1
3.737395017E0,6.245262108E-2,5.944525512E-1
4.237395017E0,7.387332055E-1,1.442937943E0
4.737395017E0,1.283238744E0,1.796738130E0
5.237395017E0,8.666736702E-1,1.725249740E0
5.737395017E0,4.887388062E-1,9.263001576E-1
6.237395017E0,2.298069641E-1,5.880050802E-1
6.737395017E0,4.094366576E-1,3.605363696E-1
7.237395017E0,7.203432632E-1,2.532989358E-1
7.737395017E0,5.841723138E-1,6.928402580E-1
8.237395017E0,2.697403030E-1,1.019542714E0
8.737395017E0,2.648234408E-1,4.481170422E-1
9.237395017E0,1.639578982E-1,3.023900176E-1
9.737395017E0,1.660686478E-1,3.865286090E-1
1.023739502E1,3.940728462E-1,1.328476443E0
1.098739502E1,1.156125563E0,2.193560480E0
1.173739502E1,6.470190646E0,2.837628602E0
1.248739502E1,7.495948945E0,8.659768275E0
1.298739502E1,8.669231694E0,1.556903713E1
1.398739502E1,1.441626774E1,2.938949930E1
1.448739502E1,1.526176590E1,2.934997031E1
1.498739502E1,1.550403058E1,3.194440603E1
1.548739502E1,1.620097148E1,3.527413711E1
1.598739502E1,1.650922521E1,3.694226097E1
1.648739502E1,1.673736709E1,3.311547999E1
1.698739502E1,1.677513053E1,3.453503638E1
1.748739502E1,1.584452305E1,2.861379972E1
1.798739502E1,1.472101629E1,2.413654213E1
1.848739502E1,1.294304931E1,1.719818850E1
1.898739502E1,1.051524228E1,1.058109927E1
1.948739502E1,8.133614066E0,6.422347552E0
1.998739502E1,5.863285019E0,4.110932249E0
2.048739502E1,3.506897219E0,1.668225446E0
2.098739502E1,1.564069912E0,1.434645137E0
2.148739502E1,1.018253462E-1,1.274312529E0
2.198739502E1,3.452598682E-2,7.064180699E-1
2.248739502E1,2.307292386E-2,1.132565844E0
2.298739502E1,2.350735777E-2,3.381162355E0
2.373739502E1,1.401212516E-1,3.876820872E-1
2.423739502E1,1.363762059E-1,1.079595640E0
2.473739502E1,2.119299981E-1,1.342627795E0
2.523739502E1,7.968711089E-2,1.049710432E0
2.573739502E1,9.400965293E-2,9.921586150E-1
2.623739502E1,6.792686947E-2,1.481681704E0
2.673739502E1,1.160389005E-1,1.729649398E0
2.723739502E1,7.658196292E-2,7.769245639E-1
2.773739502E1,7.501065047E-2,9.412489280E-2
2.823739502E1,3.577064530E-2,7.548291330E-1
2.873739502E1,4.062115360E-3,6.187136739E-1
