naam_lied;lengte (sec);populariteit;externe_url
Limburgs Volkslied (Waar In’t Bronsgroen Eikenhout);173002;6;https://open.spotify.com/track/6XnTftNvSj8mvYxoYB6a5j
Als Ze Me Kust;164675;6;https://open.spotify.com/track/3Fd4CLxcpFXRTWkvBMufsp
Leuker Met Twee;175494;5;https://open.spotify.com/track/7hJHw0APOl5A5bV4xOi5Y2
Wat Doe Je Dan;186295;5;https://open.spotify.com/track/03yxoBMCjIa09I9QhmG0Rk
Deel Van Ons Wij;207019;4;https://open.spotify.com/track/6WVZGcAFELc12DBNSv5nR9
Deel Van Ons Wij;209743;4;https://open.spotify.com/track/1aK65ino0JtXaPJ572kPkG
Als Ze Me Kust (Remix);130785;4;https://open.spotify.com/track/4qRa93eEhL3uaZkHqzEugH
He Jij;198001;4;https://open.spotify.com/track/3KB5wYGapGP5lSsag9QBtD
Onweerstaanbaar;171487;4;https://open.spotify.com/track/14T2mzw9I2hk9Gp8j36hZI
Het Leven Lacht Je Toe;197354;3;https://open.spotify.com/track/0hULPwJyCAryHUaEpdzgDW
